kode,advt_median,advt_mean,rasio_mean_median,market_cap,harga_median,volume_median,turnover_bps,amihud_per_miliar,volatilitas_tahunan,rentang_harian_relatif,max_drawdown,beta_ihsg,pct_hari_volume_nol,pct_hari_harga_stagnan,umur_listing_tahun,jumlah_hari_bursa,sektor_Basic Materials,sektor_Consumer Cyclicals,sektor_Consumer Non-Cyclicals,sektor_Energy,sektor_Financials,sektor_Healthcare,sektor_Industrials,sektor_Infrastructure,sektor_Properties & Real Estate,sektor_Technology,sektor_Tidak Diketahui,sektor_Transportation & Logistics,kelas_likuiditas,kelas_kode,bagian
SOUL,0.015813494251938478,-0.17810554608638018,-0.3459588630981232,-1.5692851227523212,-1.168634400806731,0.4724040468058487,1.4692840742070998,0.03758551421949272,1.1646728476413866,1.798006341590901,-1.4410875454051366,0.6477944940263871,-0.33067839903793445,-0.07088324577733739,-1.0151289671648978,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
MSJA,-0.05667935649376678,0.43457483997994284,2.6275101119117377,0.2865012168183484,0.144061445595846,-0.18644771348971503,-0.9021652828700699,-0.2629410434933293,-0.38147976527335836,0.05665853872622507,0.49827540577069296,-0.568859635866792,-0.33067839903793445,-0.6711029400445041,-1.100807142276718,0.0,0,0,1,0,0,0,0,0,0,0,0,0,Menengah,1,train
INDO,0.24693468586768183,0.21381323841057284,-0.10177494414367497,-0.2674849133460859,-0.379718169081871,0.40915602931188394,0.2613122642059517,-0.5908354023790424,0.30651332015435534,0.6191026476136492,0.8445990057091222,0.3177959228439169,-0.33067839903793445,-0.39100041605315966,-0.762273865005623,0.0,0,0,0,0,0,0,0,0,1,0,0,0,Menengah,1,train
SOHO,-0.42241619025077504,-0.7608765742593204,-0.24867709771444574,1.0294963131870891,0.6182235718305296,-0.858029402245458,-1.1331904866081848,0.7167306409166834,-0.48990280879366904,0.17504307821507714,1.2939943620945111,-0.4546053398717532,-0.33067839903793445,-0.35098576976868184,-0.8177673171783196,0.0,0,0,0,0,0,1,0,0,0,0,0,0,Tidak Likuid,0,train
SWID,-0.29274596640543205,-0.34657107832354933,0.6417536929441944,-0.4953496937843704,-0.793368923503412,-0.08881137926958736,-0.7870705968387379,0.12642375131387434,0.26362228766753465,0.3869874721334345,0.4344912801733761,-1.025504772115316,-0.33067839903793445,0.18921195507176797,-0.9726381648736697,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
HUMI,0.6303452399714822,0.7297106283964259,-0.1689168996494418,-0.007013024381419706,-0.9130883968244815,1.125044122908396,1.246376427292315,-0.643941591516808,0.030160746777941876,-0.4243680697525972,0.08871417825108048,-1.0682690863830298,-0.33067839903793445,1.209585435325951,-1.0650498551026792,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2,train
BATA,-0.6023489348354123,-0.9002456480627106,0.15894846023466072,-1.3128656145351392,-0.9587844697516178,-0.45085630302821134,-0.7812227323989549,0.7730144293333719,-1.2666729702685444,-0.6406662396202832,0.1751584537316544,-0.7820520718285565,-0.33067839903793445,1.7097685138819234,2.3384309017999776,0.0,0,1,0,0,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
NAIK,0.8329882736588293,0.940665103695002,-0.4153623764461374,-0.12330554551465941,-0.01317285052157298,0.9898070592014694,2.18229878453381,-0.6420254785137568,2.23200969765854,2.4626059144447137,-2.1909270893862702,1.3607979168497835,-0.29674422222775604,-1.0548016648459688,-1.1425456483962324,0.0,0,0,0,0,0,0,1,0,0,0,0,0,Menengah,1,train
TAMU,-0.054059127954265644,-0.3497070106836268,-0.5879102160032986,-0.28105568370795464,-1.685560592528797,0.5624113958891177,-0.5876441233662536,0.038762545258730456,1.2080121239129553,-0.3765273030099748,-1.7883615178985246,-0.5273440687312885,-0.33067839903793445,0.2892485707829624,-0.535191872432831,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Tidak Likuid,0,train
GTSI,-0.16428509763188504,-0.5292113608918496,-0.6673663085411207,-0.23647136440217542,-1.1205621599805735,0.21972955473371403,-0.7522714299518425,-0.1262631449793668,-0.05824805535994808,-1.0367515614896976,0.8404035302560711,-0.34059075393649146,-0.33067839903793445,0.4092925096363959,-0.9025167315843209,0.0,0,0,0,1,0,0,0,0,0,0,0,0,Likuid,2,train
